id,invoiceNo,date,dueDate,partyId,partyName,partyState,subtotal,totalTax,grandTotal,paymentStatus,amountPaid,balanceDue,paymentDate,paymentMethod
B001,INV-2026-0001,2026-09-04,2026-09-19,P003,Sneha Iyer,Punjab,1120.00,134.40,1254.40,Paid,1254.40,0.00,2026-09-05,UPI
B002,INV-2026-0002,2026-08-08,2026-08-23,P001,Manish Shah,Gujarat,11692.00,2104.56,13796.56,Paid,13796.56,0.00,2026-08-10,Bank Transfer
B003,INV-2026-0003,2026-09-01,2026-09-16,P002,Karan Patel,Gujarat,298.00,35.76,333.76,Paid,333.76,0.00,2026-09-02,Cash
B004,INV-2026-0004,2026-09-12,2026-09-27,P003,Sneha Iyer,Punjab,5539.00,746.84,6285.84,Unpaid,0.00,6285.84,,
B005,INV-2026-0005,2026-09-14,2026-09-29,P013,Karan Verma,West Bengal,15597.00,2807.46,18404.46,Unpaid,0.00,18404.46,,
B006,INV-2026-0006,2026-09-03,2026-09-18,P015,Suresh Joshi,Rajasthan,19149.00,3425.22,22574.22,Paid,22574.22,0.00,2026-09-04,Bank Transfer
B007,INV-2026-0007,2026-09-07,2026-09-22,P004,Amit Verma,Tamil Nadu,619.00,104.22,723.22,Paid,723.22,0.00,2026-09-08,UPI
B008,INV-2026-0008,2026-08-03,2026-08-18,P002,Karan Patel,Gujarat,14774.00,2648.52,17422.52,Paid,17422.52,0.00,2026-08-05,Card
B009,INV-2026-0009,2026-08-09,2026-08-24,P009,Vikram Iyer,Delhi,4335.00,753.90,5088.90,Partial,3000.00,2088.90,2026-08-15,UPI
B010,INV-2026-0010,2026-08-27,2026-09-11,P007,Kavita Shah,Punjab,2115.00,212.62,2327.62,Paid,2327.62,0.00,2026-08-28,Cash
B011,INV-2026-0011,2026-09-04,2026-09-19,P004,Amit Verma,Tamil Nadu,3103.00,455.81,3558.81,Paid,3558.81,0.00,2026-09-05,Bank Transfer
B012,INV-2026-0012,2026-09-05,2026-09-20,P013,Karan Verma,West Bengal,995.00,179.10,1174.10,Unpaid,0.00,1174.10,,
B013,INV-2026-0013,2026-08-01,2026-08-16,P014,Rohit Sharma,Maharashtra,598.00,107.64,705.64,Paid,705.64,0.00,2026-08-02,Cash
B014,INV-2026-0014,2026-09-01,2026-09-16,P007,Kavita Shah,Punjab,3326.00,301.88,3627.88,Paid,3627.88,0.00,2026-09-03,UPI
B015,INV-2026-0015,2026-08-30,2026-09-14,P015,Suresh Joshi,Rajasthan,2218.00,374.04,2592.04,Partial,1500.00,1092.04,2026-09-01,Cash
B016,INV-2026-0016,2026-09-07,2026-09-22,P001,Manish Shah,Gujarat,280.00,33.60,313.60,Paid,313.60,0.00,2026-09-08,Cash
B017,INV-2026-0017,2026-09-07,2026-09-22,P001,Manish Shah,Gujarat,18841.00,3291.70,22132.70,Unpaid,0.00,22132.70,,
B018,INV-2026-0018,2026-08-05,2026-08-20,P010,Sneha Reddy,Tamil Nadu,990.00,163.80,1153.80,Paid,1153.80,0.00,2026-08-06,UPI
B019,INV-2026-0019,2026-09-08,2026-09-23,P010,Sneha Reddy,Tamil Nadu,240.00,28.80,268.80,Paid,268.80,0.00,2026-09-09,Cash
B020,INV-2026-0020,2026-09-07,2026-09-22,P011,Amit Desai,Karnataka,5768.00,756.54,6524.54,Partial,3000.00,3524.54,2026-09-10,UPI
